name,Category,Rating,Nº Reviews,Stars,User Comment,Hours,Plus Code,Address,City,Province,Url,Latitude,Longitude,Url in Maps,categoria_puntuacion
PAOGRILL BURGERS FLORIDABLANCA,Hamburguesería,5.0,7.0,5.0,"Excelente atención,buena relación calidad precio,es un lugar al que no puedes dejar de ir,es delicioso;la comida para llevar va bien empacada y con sus respectivos acompañamientos.","domingo, 3a10 PM; lunes, 3a10 PM; martes, Cerrado; miércoles, 3a10 PM; jueves, 3a10 PM; viernes, 3a10 PM; sábado, 3a10 PM","3W88+58 Floridablanca, Santander","Cl. 198 #33 - 112, Floridablanca, Santander","Floridablanca, Santander",Santander,,7.0654004,-73.0842246,https://maps.app.goo.gl/VUtPCw71m1XSatxa8,4.5-5.0
Mi Cali Parrilla y Hamburguesas,Hamburguesería,4.3,9.0,4.0,"Ahora llamado SUAREZ, de verdad mejoraron mucho pollo a la broster y asado con muy buen sabor, porciones generosas y al mejor precio de todo florida blanca","domingo, 10 AMa9 PM; lunes, 10 AMa9:30 PM; martes, 10 AMa9:30 PM; miércoles, 10 AMa9:30 PM; jueves, 10 AMa9:30 PM; viernes, 10 AMa9:30 PM; sábado, 10 AMa9:30 PM","3W77+M6 Floridablanca, Santander","Cra. 8 #3-02, Floridablanca, Santander","Floridablanca, Santander",Santander,,7.06414,-73.0869656,https://maps.app.goo.gl/3DLKHaeUEJKzRU5V9,4.0-4.5
York Burger,Restaurante,4.2,11.0,1.0,"Lamentable la atención, se equivocan y aparte de todo no resuelven y ni siquiera se disculpan. Quizá la comida sea buena pero pésima la atención, muy desagradable experiencia.","domingo, 11 AMa3 PM, 5:30 PMa12 AM; lunes, 11 AMa3 PM, 5:30 PMa12 AM; martes, 11 AMa3 PM, 5:30 PMa12 AM; miércoles, 11 AMa3 PM, 5:30 PMa12 AM; jueves, 11 AMa3 PM, 5:30 PMa12 AM; viernes, 11 AMa3 PM, 5:30 PMa12 AM; sábado, 11 AMa3 PM, 5:30 PMa12 AM","3V9V+65 Floridablanca, Santander","681002 Calle 31 No.23-75, Local 2, Floridablanca, Santander","Floridablanca, Santander",Santander,,7.0680427,-73.1071066,https://maps.app.goo.gl/oNNsts5JKreXQ1fu8,4.0-4.5
Comidas rapidas El Cofla,Restaurante,4.5,26.0,5.0,"Un lugar de comidas rápidas muy bueno. Hamburguesas 🍔 🍔, perros calientes 🌭🌭 y salchipapas 🍟🍟 muy ricas. Venden también gaseosas. Muy buenos precios y excelente calidad en los productos. Es un poco demorado por lo que tienen demasiados servicios.","domingo, 5a11 PM; lunes, 5a11 PM; martes, 5a11 PM; miércoles, 5a11 PM; jueves, 5a11 PM; viernes, 5a11 PM; sábado, 5a11 PM","3VQW+CC Floridablanca, Santander","Carrera 33 # 112 13 caldas Telefono 3163331788 6366581, Floridablanca, Santander","Floridablanca, Santander",Santander,,7.0885798,-73.1039437,https://maps.app.goo.gl/6PwtRpFTBTnjUN5Q9,4.5-5.0
Dónde Gerson,Restaurante de comida rápida,4.4,131.0,5.0,"Excelente calidad en sus productos y servicio, super recomendados, atendido por sus propietarios","domingo, 6 PMa1 AM; lunes, 6 PMa1 AM; martes, 6 PMa1 AM; miércoles, 6 PMa1 AM; jueves, 6 PMa1 AM; viernes, 6 PMa1 AM; sábado, 6 PMa1 AM","3WV3+V5 Floridablanca, Santander","Cl 104B #42A-22, Floridablanca, Santander","Floridablanca, Santander",Santander,,7.0946587,-73.0970268,https://maps.app.goo.gl/vX6kh9c92M1KcULL7,4.0-4.5
César burguer,Restaurante,4.7,30.0,5.0,Exelente atención al cliente muy rica la comida lo recomiendo,"domingo, 4 PMa12 AM; lunes, 4 PMa12 AM; martes, Cerrado; miércoles, 4 PMa12 AM; jueves, 4 PMa12 AM; viernes, 6 PMa12 AM; sábado, 6 PMa12 AM","3WG6+48 Floridablanca, Santander","Cra. 5 Este #28-70, Floridablanca, Santander","Floridablanca, Santander",Santander,,7.0752782,-73.0892095,https://maps.app.goo.gl/tQQduj7CAKGCvuHw8,4.5-5.0
Homies Artesanal,Hamburguesería,4.7,341.0,5.0,"El lugar es una joya escondida, es un restaurante de comida rápida con puerta cerrada. El servicio es amable y rápido, gran variedad de hamburguesas de muy buen sabor y combinaciones acertadas. La calidad de sus ingredientes es muy buena, el precio es justo. Las bebidas también tiene propuestas interesantes, volvería sin pensarlo. Recomendado.","domingo, 6a11 PM; lunes, 6a11 PM; martes, 6a11 PM; miércoles, 6a11 PM; jueves, 6a11 PM; viernes, 6a11 PM; sábado, 6a11 PM","3VFW+7H Floridablanca, Santander","Cra. 11 #26 24, Lagos 1, Floridablanca, Santander","Floridablanca, Santander",Santander,https://www.instagram.com/homiesburgersco/,7.0731611,-73.103541,https://maps.app.goo.gl/mDnSGhVrHB6cqXe36,4.5-5.0
Bizzarros burger,Restaurante,4.7,71.0,5.0,"Me encanta este lugar, muy agradable, limpio, excelente servicio, ambiente y por supuesto sus platos, su estructura es encantadora, una decoración artística hermosa 🎋🎍","domingo, 11 AMa12:30 AM; lunes, Cerrado; martes, 11 AMa12:30 AM; miércoles, 11 AMa12:30 AM; jueves, 9 AMa12:30 AM; viernes, 11 AMa12:30 AM; sábado, 11 AMa12:30 AM","3V9R+M5 Floridablanca, Santander","lagos , cañaveral, Cl 29 #10-42, Floridablanca, Santander","Floridablanca, Santander",Santander,,7.0692066,-73.1096089,https://maps.app.goo.gl/JJLoQLAxruRcCXBw6,4.5-5.0
El Corral La Florida,Restaurante,4.4,170.0,5.0,Lo más bonito que e podido recibir gracias Dios mío 🙏🙏🙏🙏,"domingo, 11 AMa9 PM; lunes, 11 AMa9 PM; martes, 11 AMa9 PM; miércoles, 11 AMa9 PM; jueves, 11 AMa9 PM; viernes, 11 AMa10 PM; sábado, 11 AMa10 PM","3V9V+QJ Floridablanca, Santander","Cl. 31 # 25A-19 Local 313, Bucaramanga, Floridablanca, Santander","Floridablanca, Santander",Santander,https://pideenlinea.elcorral.com/,7.0694037,-73.10594,https://maps.app.goo.gl/kUgFkTZorfVjeZFR6,4.0-4.5
Comidas Rápidas Donde Ro,Restaurante de comida rápida,4.4,84.0,1.0,"1 hora esperando el servicio, comida un poco desabrida, presentación sencilla, poco personal para tanta venta, lugar económico se podría decir 20 mil pesos por una salchipapa, aspectos por mejorar agilidad en el pedido, pedimos 2 cosas y solo llegó 1 en una hora.","domingo, 6 AMa12 AM; lunes, 6 AMa12 AM; martes, 6 AMa12 AM; miércoles, 6 AMa12 AM; jueves, 6 AMa12 AM; viernes, 6 AMa12 AM; sábado, 6 AMa12 AM","3VGW+78 Floridablanca, Santander","Cl. 20 #12-03, Floridablanca, Santander","Floridablanca, Santander",Santander,https://es.restaurantguru.com/Comidas-Rapidas-Donde-Ro-Floridablanca-2,7.0757285,-73.1042032,https://maps.app.goo.gl/n1BMm5NU9QfVZhPT9,4.0-4.5
