name,Category,Rating,Nº Reviews,Stars,User Comment,Hours,Plus Code,Address,City,Province,Url,Latitude,Longitude,Url in Maps,nombre_restaurante,tipo_restaurante,puntuacion,cantidad_comentarios,direccion_comercial,tipo_consumo,opciones,entrega,enlace,geocoding_address,coordenadas,latitude,longitude
COMIDA RAPIDA BAMBAM,Restaurante,"4,0",142.0,5.0,"Me encanta, sus hamburguesas son muy ricas y las papas también, ellos mismos avisan que el domicilio demora un poco porque salen demasiados pedidos, pídelas temprano.","domingo, 4a11 PM; lunes, 4a11 PM; martes, 4a11 PM; miércoles, 4a11 PM; jueves, 4a11 PM; viernes, 11 AMa11 PM; sábado, 4a11 PM","3WP2+VP Floridablanca, Santander","Cl. 126a # 45 - 02, Floridablanca, Santander","Floridablanca, Santander",Santander,,7.0872377,-73.0981394,https://maps.app.goo.gl/opLqd7KfsFYFWPPi8,COMIDA RAPIDA BAMBAM,·  · Restaurante,4.0,142.0,Calle. 126a No 45 - 02,,,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAACgAAAAoCAMAAAC7IEhfAAAAflBMVEVHcEzs8v/b6P/a5//V5P+91f+jxP+gw/+hxP+ox//B1//X5P/4+v/M3v/Q4f/9/f/u9P+ty/+xzf/z9/+jxv+yzf+81P+avv13ne9PfOM5bt+BpvIyat4+cd9DdOCStvmIrfVeiOdslOuTtf+Qsv+HrP+NsP+4zv9Tg/Kpw/9P6VkYAAAAKnRSTlMAJUtjcbD2///qplcQin4ELNzPHv/OtP///////////////9rPsKlt8ITWgCk1AAABgUlEQVR4AX2VBZLDMAwAw1LK4AsYAoft/z94obHk0BaGdkQmb44fhFEUBr63SxgngD0A6eG4ZZ3OCTAQ08t1zYtIs6ThMlwMqxxmQW932ODxdLwUNrkz88TioRhAsHxQ9gwsIi9KKcsiF6xO2y/zlDZVh9GKmeGUOCGv0NWELshMx+RnsNTW68ya6rz03pUFLCtGyUL2YgiWXHNR5xTy6LSMjeSibNBpPCFRuaJCnvsGexEtT+/IxO0aIeDTBtEa8kwrgM/8AgTO50hEjghCWZPWcBIjcMzGyC5999d0npP6CA6Iqi3LViGCQ2DHQyrbjnw8XjKLOIqziKm7azunborPjkLVKNDduyFpTSulNANS6laBoE1B20yoqmuY0cnFVEHKNi62slogy3wwL3QU+OoxTIV0FPqZY6MXEu21kI4rFmZdNJ8CDuwCEDvix5VfKdvi3b18vrbEb+51nH7Wxd/lXfr3Wmqvv9Wr+f2aaW83HOP487LW79HbxQ/+OpbPxz+OulJiB8BuewAAAABJRU5ErkJggg==","Calle. 126a No 45 - 02, Bucaramanga, Santander, Colombia","(7.0872793, -73.0980092)",7.0872793,-73.0980092
Megadog comidas Rápidas,Restaurante de comida rápida,"4,3",174.0,5.0,La comía es RICA atiende RÁPIDO . Y es bueno porque sirven en bandeja de aluminio y CUIDA EL MEDIO AMBIENTE.,"domingo, 5 PMa1 AM; lunes, 5 PMa12 AM; martes, 5 PMa12 AM; miércoles, 5 PMa12 AM; jueves, 5 PMa12 AM; viernes, 5 PMa1 AM; sábado, 5 PMa2 AM","3WV3+89 Floridablanca, Santander","Crr 43#105a-86, san bernardo, Floridablanca, Santander","Floridablanca, Santander",Santander,,7.0932899,-73.0965712,https://maps.app.goo.gl/6t6My8v7KZUaR5RA6,,,,,,,,,,,,,
Peaky Burgers,Hamburguesería,"5,0",10.0,5.0,"Fascinada con su decoración en el exterior. De las hamburguesas y perros calientes ni decir, son una delicia, frescura y excelente sazón. Gran amabilidad de sus dueños, la verdad que se siente en casa ,ambiente familiar y con naturaleza alrededor","domingo, 12 AMa12 PM, 5 PMa12 AM; lunes, 12 AMa12 PM, 6:50a11 PM; martes, 6:50a11 PM; miércoles, 6:50a11 PM; jueves, 6:50a11 PM; viernes, 6:50a11 PM; sábado, 5 PMa12 AM","3W94+HW Floridablanca, Santander","Cra. 3 #48-6, Floridablanca, Santander","Floridablanca, Santander",Santander,,7.0688837,-73.0926391,https://maps.app.goo.gl/m3eXrbhnwimpK7Ro8,Peaky Burgers,· Hamburguesa,5.0,10.0,Carrera. 3 No48-6,Consumo en el lugar,Para llevar,Entrega a domicilio,,"Carrera. 3 No48-6, Bucaramanga, Santander, Colombia","(7.1137821, -73.1358882)",7.1137821,-73.1358882
Comidas Rápidas el Mirador De jors,Restaurante,"4,3",226.0,5.0,Excelente 👌 comida muy rico y excelente servicio recomendadisimo,"domingo, 4:30 PMa1:45 AM; lunes, 4:30 PMa1:30 AM; martes, 4:30 PMa1 AM; miércoles, 4:30 PMa1 AM; jueves, 4:30 PMa1 AM; viernes, 4:30 PMa1 AM; sábado, 4:30 PMa2 AM","3WH2+WF Floridablanca, Santander","Cl. 11 #6-05 a 6-37, Floridablanca, Santander","Floridablanca, Santander",Santander,,7.0798155,-73.0988,https://maps.app.goo.gl/c9xLziiS7Hr7QQdg9,,,,,,,,,,,,,
"Comidas Rápidas Floridablanca Mercedes Fast Food, Domicilios",Restaurante de comida rápida,"4,7",20.0,5.0,"Excelente comida, relación calidad - precio justa, muy buena atención 😊","domingo, 5a11:30 PM; lunes, 5a11:30 PM; martes, 5a11:30 PM; miércoles, 5a11:30 PM; jueves, 5a11:30 PM; viernes, 5a11:30 PM; sábado, 5 PMa12 AM","3W63+G3 Floridablanca, Santander","Barrio La Paz, Cl. 200 #18-88, Floridablanca, Santander","Floridablanca, Santander",Santander,,7.0613424,-73.0973437,https://maps.app.goo.gl/NHTdYBzW3P9rYWKRA,"Comidas Rápidas Floridablanca Mercedes Fast Food, Domicilios",·  · Comida rápida,4.7,21.0,"Barrio La Paz, Calle. 200 No18-88",,,,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"Barrio La Paz, Calle. 200 No18-88, Bucaramanga, Santander, Colombia","(7.0614363, -73.1006211)",7.0614363,-73.1006211
Richies Burger,Hamburguesería,"3,3",3.0,1.0,"Pedí unas papas locas y una hamburguesa, la lechuga de la papa loca estaba sucia y dañada en varias partes  y traía huesos del pollo “mechado”. Debido a la  baja calidad, devolví el plato y pese a ello insistieron en cobrar completo el producto, finalmente recapacitaron y optaron por cobrar solo una parte del producto devuelto y no la totalidad. Nunca volveré a este lugar.",,"3VCW+Q3 Floridablanca, Santander","a 29-240, Cra. 12 #29-2, Floridablanca, Santander","Floridablanca, Santander",Santander,,7.0719992,-73.1047896,https://maps.app.goo.gl/o9FhjpVAFcdbT69o8,Richies Burger,· Hamburguesa,3.3,3.0,"a 29-240, Carrera. 12 No29-2",Consumo en el lugar,Para llevar,Entrega sin contacto,,"a 29-240, Carrera. 12 No29-2, Bucaramanga, Santander, Colombia","(7.0709182, -73.1045348)",7.0709182,-73.1045348
Berracos Burger,Restaurante,"4,2",6.0,5.0,La comida es súper buena la verdad,"domingo, 5:30 PMa12 AM; lunes, 5:30 PMa12 AM; martes, 5:30 PMa12 AM; miércoles, 5:30 PMa12 AM; jueves, 5:30 PMa12 AM; viernes, 5:30 PMa12 AM; sábado, 5:30 PMa12 AM","3WQ3+88 Floridablanca, Santander","Cra. 12 #18-16, Floridablanca, Santander","Floridablanca, Santander",Santander,,7.0882622,-73.0967284,https://maps.app.goo.gl/dMZKSwQBR99rKbKH8,Berracos Burger,· Restaurante,4.2,6.0,Carrera. 12 No18-16,Para llevar,Entrega sin contacto,,,"Carrera. 12 No18-16, Bucaramanga, Santander, Colombia","(7.1499711, -73.133389)",7.1499711,-73.133389
11:11 Burger,Hamburguesería,"4,4",163.0,4.0,"Excelente servicio y comida a buen precio, recomiendo las hamburguesas flameadas, son deliciosas. Lo único malo es el tomadero que funciona al lado ya que perturba un poco el ambiente tranquilo y relajado idóneo para disfrutar de una buena comida","domingo, 4:30a11:30 PM; lunes, 4:30a11:30 PM; martes, Cerrado; miércoles, 4:30a11:30 PM; jueves, 4:30a11:30 PM; viernes, 4:30a11:30 PM; sábado, 4:30a11:30 PM","3WF2+36 Floridablanca, Santander","Cra. 8 #26-22, lagos 1, Floridablanca, Santander","Floridablanca, Santander",Santander,,7.0727495,-73.0994935,https://maps.app.goo.gl/7kDTGx1bR1PJZ6Xn6,11:11 Burger,·  · Hamburguesa,4.4,163.0,Carrera. 8 No26-22,Consumo en el lugar,Para llevar,Entrega sin contacto,,"Carrera. 8 No26-22, Bucaramanga, Santander, Colombia","(7.0854707, -73.1306983)",7.0854707,-73.1306983
Los Roques Burguer,Restaurante de comida rápida,"5,0",2.0,5.0,"Un lugar muy agradable, excelente atención y servicio y lo mejor la comida,  quede con ganas de probar los pepitos pero las hamburguesas me encantaron. Recomendado, olvidé fue tomar fotos de los platos",,"3W63+9V Floridablanca, Santander","Cra. 23 #200A - 27, Floridablanca, Santander","Floridablanca, Santander",Santander,,7.0609228,-73.0953133,https://maps.app.goo.gl/DDEZmTRmXVu1KDwM7,Los Roques Burguer,· Comida rápida,3.7,3.0,Carrera. 23 No200A - 27,,,,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"Carrera. 23 No200A - 27, Bucaramanga, Santander, Colombia","(7.127253, -73.1224623)",7.127253,-73.1224623
La Casita,Restaurante de comida rápida,"4,1",445.0,5.0,Buen café buena atención un lugar tranquilo con buen ambiente ☕,"domingo, 5 PMa12 AM; lunes, 5 PMa12 AM; martes, 5 PMa12 AM; miércoles, 5 PMa12 AM; jueves, 5 PMa12 AM; viernes, 5 PMa12 AM; sábado, 5 PMa12 AM","3V9W+H3 Floridablanca, Santander","Calle 32, Cañaveral #26-04, Floridablanca, Santander","Floridablanca, Santander",Santander,,7.0689418,-73.1048546,https://maps.app.goo.gl/dpPwKbRBwWnZ5acX9,,,,,,,,,,,,,
